,Datetime,Tweet Id,Text,Username
0,2021-11-28 21:09:26+00:00,1465065320922566656,@noumenalanxiety @Zrahnasil @shotasexfan @demolishisrael @MofuMarkus lawfxgs mad,endotericist
1,2021-11-28 21:02:56+00:00,1465063685135618050,@noumenalanxiety @Zrahnasil @shotasexfan @demolishisrael @MofuMarkus No.,endotericist
2,2021-11-28 20:51:55+00:00,1465060913162055680,@Mashu_Respecter @Zrahnasil @noumenalanxiety @shotasexfan @demolishisrael @MofuMarkus THANK U RYLAN,endotericist
3,2021-11-28 20:51:43+00:00,1465060862956240900,@noumenalanxiety @Zrahnasil @shotasexfan @demolishisrael @MofuMarkus nooooooo,endotericist
4,2021-11-28 20:40:04+00:00,1465057930227580929,@Zrahnasil @noumenalanxiety @shotasexfan @demolishisrael @MofuMarkus im literally chaotic neutral wtf do u want from me,endotericist
5,2021-11-28 20:38:16+00:00,1465057475007160322,@noumenalanxiety @shotasexfan @Zrahnasil @demolishisrael @MofuMarkus no killian is right,endotericist
6,2021-11-28 20:35:12+00:00,1465056706262491137,@youjosekuhara dude wtf i fuckin love ur mom now????,endotericist
7,2021-11-28 13:05:30+00:00,1464943533916233730,based sweden https://t.co/4u8nfCDjOe,endotericist
8,2021-11-28 08:50:42+00:00,1464879410536857607,@chickenbrained was this not already known?,endotericist
9,2021-11-28 07:37:36+00:00,1464861015032557570,@Mashu_Respecter i love you too rylan. wishing you sweet and clear dreams as always&lt;3,endotericist
10,2021-11-28 05:04:23+00:00,1464822458133868548,"gang, where we at https://t.co/nmzeGwwwL6",endotericist
11,2021-11-28 01:46:42+00:00,1464772706650378240,@chickenbrained jealous,endotericist
12,2021-11-28 00:56:02+00:00,1464759956129812483,@goatlvrr mood,endotericist
13,2021-11-28 00:01:21+00:00,1464746197353070595,@deadgavin1 thats a common one,endotericist
14,2021-11-28 00:00:44+00:00,1464746042159599619,@Rocknocking @thicctatorx I HATE IT HERE I HATE IT HERE,endotericist
15,2021-11-28 00:00:19+00:00,1464745936068902916,"@chickenbrained awful based of you
our HOA would whine about it lol",endotericist
16,2021-11-27 23:59:30+00:00,1464745729990086657,good morning https://t.co/hQrZ3KAq1Q,endotericist
17,2021-11-27 09:45:40+00:00,1464530854907039748,@CriticalMalthus honestly i don't pay attention because it's all bullshit. i wear a mask in businesses and on transit and refuse to everywhere else. i'm still neet so i have the privilege of not caring about business closures etc,endotericist
